,CO2,DATE_C,ORIGIN
0,200,2022-11-12_15-14,Sensor_bici
1,200,2022-11-12_15-14,Sensor_bici
2,201,2022-11-12_15-15,Sensor_bici
3,200,2022-11-12_15-15,Sensor_bici
4,201,2022-11-12_15-15,Sensor_bici
5,200,2022-11-12_15-15,Sensor_bici
6,200,2022-11-12_15-15,Sensor_bici
7,200,2022-11-12_15-16,Sensor_bici
8,201,2022-11-12_15-16,Sensor_bici
9,200,2022-11-12_15-16,Sensor_bici
10,201,2022-11-12_15-16,Sensor_bici
11,201,2022-11-12_15-17,Sensor_bici
12,200,2022-11-12_15-17,Sensor_bici
13,200,2022-11-12_15-17,Sensor_bici
14,201,2022-11-12_15-17,Sensor_bici
15,194,2022-11-12_15-17,Sensor_bici
16,200,2022-11-12_15-18,Sensor_bici
17,200,2022-11-12_15-18,Sensor_bici
